Label,Name,Pronunciation,Image,"Abs.
magn.","Diameter
(km)","Mass
(×1015 kg)","Semi-major
axis
(km)",Orbital period (d),"Inclination
(°)",Eccentricity,Group,"Discovery
year",Year announced,Discoverer
XII,Helene,/ˈhɛləniː/,,8.2,"35.2
(45 × 39 × 27)",7.1,377600,+2.73692,0.2,0.007,trojan (Dione L4),1980,1980,Laques & Lecacheux
XXXIV,Polydeuces,/pɒliˈdjuːsiːz/,,—,"2.6
(3.5 × 3.1 × 2.7)",≈ 0.0075,377600,+2.73692,0.2,0.019,trojan (Dione L5),2004,2004,Cassini
IV,♠Dione,/daɪˈoʊniː/,,0.8,"1122.8
(1128 × 1123 × 1119)",1095486.8,377700,+2.73692,0.0,0.002,,1684,1684,Cassini
V,♠Rhea,/ˈreɪə/,,0.1,"1527.6
(1530 × 1526 × 1525)",2306485.4,527200,+4.51750,0.3,0.001,,1672,1673,Cassini
VI,♠Titan,/ˈtaɪtən/,,–1.3,"5149.46
(5149 × 5149 × 5150)",134518035.4,1221900,+15.9454,0.3,0.029,,1655,1656,Huygens
VII,Hyperion,/haɪˈpɪəriən/,,4.8,"270.0
(360 × 266 × 205)",5551.0,1481500,+21.2767,0.6,0.105,,1848,1848,Bond & Lassell
VIII,♠Iapetus,/aɪˈæpətəs/,,1.2,"1468.6
(1491 × 1491 × 1424)",1805659.1,3561700,+79.3310,7.6,0.028,,1671,1673,Cassini
,♦S/2023 S 1,―,,16.6,≈ 3,≈ 0.014,11205400,+442.86,48.8,0.386,Inuit group (Kiviuq),2023,2025,Ashton et al.
,♦S/2019 S 1,—,,15.3,≈ 5,≈ 0.11,11245400,+445.17,49.5,0.383,Inuit group (Kiviuq),2019,2021,Ashton et al.
,♦S/2004 S 54,―,,16.1,≈ 4,≈ 0.034,11277500,+447.14,48.1,0.373,Inuit group (Kiviuq),2004,2025,Sheppard et al.
,♦S/2023 S 56,―,,17.1,≈ 3,≈ 0.014,11287500,+447.75,45.4,0.358,Inuit group (Kiviuq),2023,2026,Ashton et al.
,♦S/2004 S 55,―,,16.5,≈ 3,≈ 0.014,11294700,+448.16,48.9,0.260,Inuit group (Kiviuq),2004,2025,Sheppard et al.
,♦S/2020 S 11,―,,16.9,≈ 3,≈ 0.014,11295600,+448.21,48.2,0.372,Inuit group (Kiviuq),2020,2025,Ashton et al.
,♦S/2019 S 22,―,,16.7,≈ 3,≈ 0.014,11305100,+448.48,47.3,0.369,Inuit group (Kiviuq),2019,2025,Ashton et al.
,♦S/2020 S 49,―,,16.9,≈ 2,≈ 0.004,11305900,+448.84,48.0,0.373,Inuit group (Kiviuq),2020,2026,Ashton et al.
XXIV,♦Kiviuq,/ˈkɪviək/,,12.7,≈ 17,≈ 3.6,11307400,+448.91,48.0,0.275,Inuit group (Kiviuq),2000,2000,Gladman et al.
,♦S/2023 S 2,―,,16.7,≈ 3,≈ 0.014,11309900,+449.05,45.7,0.339,Inuit group (Kiviuq),2023,2025,Ashton et al.
,♦S/2019 S 23,―,,16.7,≈ 3,≈ 0.014,11310200,+449.08,48.7,0.255,Inuit group (Kiviuq),2019,2025,Ashton et al.
,♦S/2020 S 12,―,,16.8,≈ 3,≈ 0.014,11314500,+449.33,50.8,0.260,Inuit group (Kiviuq),2020,2025,Ashton et al.
,♦S/2005 S 4,—,,15.7,≈ 5,≈ 0.065,11324500,+449.93,48.0,0.315,Inuit group (Kiviuq),2005,2023,Sheppard et al.
,♦S/2019 S 25,―,,16.4,≈ 4,≈ 0.034,11329400,+450.22,48.1,0.271,Inuit group (Kiviuq),2019,2025,Ashton et al.
,♦S/2020 S 1,—,,15.9,≈ 4,≈ 0.034,11338600,+450.77,48.2,0.337,Inuit group (Kiviuq),2020,2023,Ashton et al.
XXII,♦Ijiraq,/ˈiːɪrɒk/,,13.2,≈ 13,≈ 1.8,11344700,+451.12,49.2,0.293,Inuit group (Kiviuq),2000,2000,Gladman et al.
,♦S/2020 S 48,―,,16.8,≈ 3,≈ 0.014,11355100,+451.75,45.9,0.373,Inuit group (Kiviuq),2020,2026,Ashton et al.
,♦S/2019 S 24,―,,16.1,≈ 4,≈ 0.034,11360500,+452.07,46.7,0.345,Inuit group (Kiviuq),2019,2025,Ashton et al.
,♦S/2007 S 10,―,,16.1,≈ 4,≈ 0.034,11364900,+452.36,45.8,0.367,Inuit group (Kiviuq),2007,2025,Sheppard et al.
,♦S/2019 S 26,―,,16.5,≈ 3,≈ 0.014,11390900,+453.89,48.1,0.365,Inuit group (Kiviuq),2019,2025,Ashton et al.
,♦S/2020 S 13,―,,16.5,≈ 3,≈ 0.014,11415600,+455.39,48.0,0.373,Inuit group (Kiviuq),2020,2025,Ashton et al.
,‡S/2023 S 50,―,,16.9,≈ 3,≈ 0.014,11656500,−469.82,166.1,0.263,Norse group (Mundilfari),2023,2025,Ashton et al.
,♦S/2023 S 6,―,,16.4,≈ 3,≈ 0.014,11953100,+487.91,47.4,0.336,Inuit group (Kiviuq),2023,2025,Ashton et al.
,♦S/2023 S 7,―,,15.9,≈ 4,≈ 0.034,12133700,+499.01,44.7,0.284,Inuit group (Kiviuq),2023,2025,Ashton et al.
,‡S/2023 S 38,―,,17.0,≈ 3,≈ 0.014,12823500,−546.31,149.2,0.909,Norse group (low-inclination),2023,2025,Ashton et al.
IX,‡Phoebe,/ˈfiːbi/,,6.7,"213.0
(219 × 217 × 204)",8312.3,12929400,−550.30,175.2,0.164,Norse group (Phoebe),1898,1899,Pickering
,‡S/2023 S 9,―,,16.7,≈ 3,≈ 0.014,13167500,−564.11,172.2,0.141,Norse group (Phoebe),2023,2025,Ashton et al.
,‡S/2006 S 20,—,,15.8,≈ 5,≈ 0.065,13193700,−565.79,173.1,0.206,Norse group (Phoebe),2006,2023,Sheppard et al.
,‡S/2004 S 56,―,,15.8,≈ 5,≈ 0.065,13670200,−596.69,161.6,0.339,Norse group (Mundilfari),2004,2025,Sheppard et al.
,‡S/2023 S 8,―,,16.7,≈ 3,≈ 0.014,14018800,−619.69,166.9,0.122,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 62,―,,16.9,≈ 2,≈ 0.004,14025900,−620.15,155.6,0.467,Norse group (Kari),2023,2026,Ashton et al.
,‡S/2023 S 11,―,,16.9,≈ 3,≈ 0.014,14046100,−621.49,170.9,0.300,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2006 S 9,—,,16.5,≈ 3,≈ 0.014,14406700,−645.58,173.0,0.249,Norse group (Phoebe),2006,2023,Sheppard et al.
,‡S/2006 S 21,―,,16.7,≈ 3,≈ 0.014,14976500,−684.28,169.8,0.204,Norse group (Mundilfari),2006,2025,Sheppard et al.
XX,♦Paaliaq,/ˈpɑːliɒk/,,11.7,≈ 25,≈ 14,14997700,+685.72,48.5,0.378,Inuit group,2000,2000,Gladman et al.
,‡S/2006 S 22,―,,16.7,≈ 3,≈ 0.014,15109500,−693.41,172.0,0.246,Norse group (Phoebe),2006,2025,Sheppard et al.
,‡S/2023 S 13,―,,16.6,≈ 3,≈ 0.014,15193000,−699.18,168.5,0.179,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 10,―,,16.7,≈ 3,≈ 0.014,15500200,−720.49,163.0,0.302,Norse group (Mundilfari),2023,2025,Ashton et al.
XXVII,‡Skathi,/ˈskɑːði/,,14.3,≈ 8,≈ 0.38,15575400,−725.73,151.6,0.281,Norse group (low-inclination),2000,2000,Gladman et al.
,‡S/2023 S 12,―,,16.9,≈ 3,≈ 0.014,15805900,−741.92,168.8,0.601,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2007 S 5,—,,16.2,≈ 4,≈ 0.034,15835600,−744.01,158.4,0.104,Norse group (Mundilfari),2007,2023,Sheppard et al.
,‡S/2007 S 7,—,,16.2,≈ 4,≈ 0.034,15931600,−750.80,169.3,0.217,Norse group (Mundilfari),2007,2023,Sheppard et al.
,‡S/2007 S 2,—,,15.6,≈ 5,≈ 0.065,15939100,−751.33,174.0,0.232,Norse group (Phoebe),2007,2007,Sheppard et al.
,‡S/2004 S 37,—,,15.9,≈ 4,≈ 0.034,15956300,−752.55,158.2,0.448,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2004 S 47,—,,16.3,≈ 4,≈ 0.034,16050700,−759.22,160.9,0.291,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2004 S 40,—,,16.3,≈ 4,≈ 0.034,16075600,−761.00,169.2,0.297,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2020 S 14,―,,16.7,≈ 3,≈ 0.014,16186200,−768.86,161.7,0.313,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2019 S 27,―,,16.7,≈ 3,≈ 0.014,16267000,−774.63,162.1,0.420,Norse group (Mundilfari),2019,2025,Ashton et al.
XXVI,♣Albiorix,/ˌælbiˈɒrɪks/,,11.2,28.6,≈ 12,16329200,+779.07,36.8,0.482,Gallic group,2000,2000,Holman
,‡S/2019 S 2,—,,16.5,≈ 3,≈ 0.014,16560300,−795.67,173.3,0.279,Norse group (Phoebe),2019,2023,Ashton et al.
,♣S/2020 S 15,―,,16.7,≈ 3,≈ 0.014,16729200,+807.82,37.1,0.462,Gallic group,2020,2025,Ashton et al.
,‡S/2023 S 14,―,,16.8,≈ 3,≈ 0.014,16853000,−816.86,171.6,0.497,Norse group (Mundilfari),2023,2025,Ashton et al.
,♣S/2023 S 55,―,,16.9,≈ 3,≈ 0.014,16875100,+818.51,35.9,0.491,Gallic group,2023,2026,Ashton et al.
,‡S/2020 S 16,―,,16.5,≈ 3,≈ 0.014,16963400,−824.92,167.3,0.405,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2023 S 16,―,,16.8,≈ 3,≈ 0.014,17005300,−827.81,162.6,0.270,Norse group (Mundilfari),2023,2025,Ashton et al.
XXXVII,♣Bebhionn,/ˈbeɪvɪn/,,15.0,≈ 6,≈ 0.18,17027300,+829.64,38.6,0.459,Gallic group,2004,2005,Sheppard et al.
,♣S/2007 S 8,—,,16.0,≈ 4,≈ 0.034,17048900,+831.21,36.2,0.490,Gallic group,2007,2023,Sheppard et al.
LX,♣S/2004 S 29,—,,15.7,≈ 5,≈ 0.065,17063900,+832.27,38.6,0.485,Gallic group,2004,2019,Sheppard et al.
,‡S/2019 S 3,—,,16.2,≈ 4,≈ 0.034,17077400,−833.19,166.9,0.248,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2020 S 17,―,,16.3,≈ 4,≈ 0.034,17094200,−834.45,148.9,0.378,Norse group (low-inclination),2020,2025,Ashton et al.
,‡S/2023 S 53,―,,16.8,≈ 3,≈ 0.014,17181100,−840.82,171.2,0.103,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2023 S 58,―,,16.9,≈ 2,≈ 0.004,17206000,−842.68,169.6,0.093,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2023 S 20,―,,16.7,≈ 3,≈ 0.014,17261000,−846.77,136.5,0.442,Norse group (low-inclination),2023,2025,Ashton et al.
,♣S/2019 S 29,―,,16.5,≈ 3,≈ 0.014,17353900,+853.62,37.7,0.441,Gallic group,2019,2025,Ashton et al.
,♣S/2023 S 18,―,,16.8,≈ 3,≈ 0.014,17381700,+855.65,36.7,0.448,Gallic group,2023,2025,Ashton et al.
,♣S/2023 S 17,―,,17.1,≈ 3,≈ 0.014,17385300,+855.94,35.9,0.498,Gallic group,2023,2025,Ashton et al.
,‡S/2020 S 7,—,,16.8,≈ 3,≈ 0.014,17394000,−856.53,161.4,0.500,Norse group (Mundilfari),2020,2023,Ashton et al.
,♣S/2007 S 11,―,,16.3,≈ 4,≈ 0.034,17434400,+859.53,35.5,0.499,Gallic group,2007,2025,Sheppard et al.
,♣S/2023 S 54,―,,17.0,≈ 3,≈ 0.014,17485100,+863.35,37.8,0.480,Gallic group,2023,2026,Ashton et al.
,‡S/2023 S 60,―,,16.8,≈ 2,≈ 0.004,17493700,−863.96,170.7,0.206,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2019 S 28,―,,16.3,≈ 4,≈ 0.034,17496000,−864.09,158.4,0.199,Norse group (Mundilfari),2019,2025,Ashton et al.
,♦S/2004 S 31,—,,15.6,≈ 5,≈ 0.065,17497100,+863.92,48.0,0.159,Inuit group (Siarnaq),2004,2019,Sheppard et al.
XXVIII,♣Erriapus,/ɛriˈæpəs/,,13.7,≈ 10,≈ 0.95,17506900,+864.92,37.1,0.475,Gallic group,2000,2000,Gladman et al.
,♦S/2023 S 19,―,,17.0,≈ 3,≈ 0.014,17590300,+870.92,48.2,0.092,Inuit group (Siarnaq),2023,2025,Ashton et al.
XLVII,‡Skoll,/ˈskɒl/,,15.4,≈ 5,≈ 0.11,17623400,−873.57,159.4,0.463,Norse group (Mundilfari),2006,2006,Sheppard et al.
,♦S/2023 S 3,―,,16.5,≈ 3,≈ 0.014,17646400,+875.00,46.9,0.178,Inuit group (Siarnaq),2023,2025,Ashton et al.
,‡S/2019 S 30,―,,16.8,≈ 3,≈ 0.014,17709900,−879.97,168.3,0.107,Norse group (Mundilfari),2019,2025,Ashton et al.
,♦S/2020 S 19,―,,16.8,≈ 3,≈ 0.014,17726700,+881.04,48.1,0.159,Inuit group (Siarnaq),2020,2025,Ashton et al.
,♣S/2019 S 31,―,,16.5,≈ 3,≈ 0.014,17739100,+882.24,39.8,0.488,Gallic group,2019,2025,Ashton et al.
LII,♦Tarqeq,/ˈtɑːrkeɪk/,,14.8,≈ 7,≈ 0.18,17751000,+882.85,48.7,0.144,Inuit group (Siarnaq),2007,2007,Sheppard et al.
,‡S/2023 S 21,―,,16.9,≈ 3,≈ 0.014,17755400,−883.31,157.3,0.077,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 4,―,,16.4,≈ 3,≈ 0.014,17764600,−884.11,170.0,0.276,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 18,―,,16.6,≈ 3,≈ 0.014,17777900,−885.12,168.9,0.180,Norse group (Mundilfari),2020,2025,Ashton et al.
,♦S/2019 S 14,—,,16.3,≈ 4,≈ 0.034,17852800,+890.59,46.2,0.172,Inuit group (Siarnaq),2019,2023,Ashton et al.
,‡S/2020 S 2,—,,16.9,≈ 3,≈ 0.014,17869000,−891.86,170.7,0.152,Norse group (Mundilfari),2020,2023,Ashton et al.
XXIX,♦Siarnaq,/ˈsiːɑːrnək/,,10.6,39.3,≈ 32,17881100,+892.68,47.8,0.308,Inuit group (Siarnaq),2000,2000,Gladman et al.
,‡S/2019 S 4,—,,16.5,≈ 3,≈ 0.014,17951900,−898.09,170.1,0.408,Norse group (Mundilfari),2019,2023,Ashton et al.
,♦S/2019 S 32,―,,15.7,≈ 5,≈ 0.065,17960500,+898.71,46.2,0.276,Inuit group (Siarnaq),2019,2025,Ashton et al.
,‡S/2020 S 20,―,,16.6,≈ 3,≈ 0.014,17997300,−901.53,169.8,0.133,Norse group (Mundilfari),2020,2025,Ashton et al.
,♦S/2020 S 3,—,,16.4,≈ 3,≈ 0.014,18056800,+905.84,46.0,0.142,Inuit group (Siarnaq),2020,2023,Ashton et al.
,‡S/2023 S 61,―,,16.6,≈ 3,≈ 0.014,18067700,−906.85,158.0,0.557,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2004 S 41,—,,16.3,≈ 4,≈ 0.034,18095400,−908.89,165.7,0.301,Norse group (Mundilfari),2004,2023,Sheppard et al.
,♦S/2005 S 6,―,,16.3,≈ 4,≈ 0.034,18107300,+909.58,47.7,0.084,Inuit group (Siarnaq),2005,2025,Sheppard et al.
,‡S/2004 S 57,―,,16.2,≈ 4,≈ 0.034,18150500,−913.07,167.9,0.263,Norse group (Mundilfari),2004,2025,Sheppard et al.
,♦S/2019 S 6,—,,15.7,≈ 5,≈ 0.065,18205600,+917.11,46.4,0.120,Inuit group (Siarnaq),2019,2023,Ashton et al.
,‡S/2006 S 24,―,,16.8,≈ 3,≈ 0.014,18210700,−917.56,165.9,0.352,Norse group (Mundilfari),2006,2025,Sheppard et al.
XXI,♣Tarvos,/ˈtɑːrvəs/,,13.1,≈ 15,≈ 2.1,18216600,+917.98,37.8,0.522,Gallic group,2000,2000,Gladman et al.
,♣S/2020 S 4,—,,17.0,≈ 3,≈ 0.014,18236400,+919.52,40.1,0.496,Gallic group,2020,2023,Ashton et al.
,‡S/2023 S 30,―,,16.7,≈ 3,≈ 0.014,18238300,−919.71,142.4,0.493,Norse group (low-inclination),2023,2025,Ashton et al.
,‡S/2004 S 42,—,,16.1,≈ 4,≈ 0.034,18240700,−919.88,165.7,0.158,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2023 S 15,―,,16.8,≈ 3,≈ 0.014,18241300,−919.93,161.9,0.549,Norse group (Mundilfari),2023,2025,Ashton et al.
,♦S/2004 S 58,―,,15.8,≈ 5,≈ 0.065,18254500,+920.80,45.7,0.249,Inuit group (Siarnaq),2004,2025,Sheppard et al.
,♦S/2006 S 23,―,,16.4,≈ 3,≈ 0.014,18269700,+921.86,43.8,0.190,Inuit group (Siarnaq),2006,2025,Sheppard et al.
XLIV,‡Hyrrokkin,/hɪˈrɒkən/,,14.3,≈ 8,≈ 0.38,18340900,−927.46,149.9,0.336,Norse group (low-inclination),2004,2005,Sheppard et al.
,‡S/2023 S 24,―,,16.7,≈ 3,≈ 0.014,18351800,−928.25,169.7,0.374,Norse group (Mundilfari),2023,2025,Ashton et al.
LI,‡Greip,/ˈɡreɪp/,,15.3,≈ 5,≈ 0.11,18380000,−930.44,174.2,0.317,Norse group (Phoebe),2006,2006,Sheppard et al.
,♦S/2020 S 5,—,,16.6,≈ 3,≈ 0.014,18391000,+931.19,48.2,0.220,Inuit group (Siarnaq),2020,2023,Ashton et al.
,♣S/2019 S 34,―,,16.8,≈ 3,≈ 0.014,18446800,+935.45,37.6,0.536,Gallic group,2019,2025,Ashton et al.
,‡S/2004 S 13,—,,16.3,≈ 4,≈ 0.034,18453700,−936.09,169.0,0.265,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2023 S 63,―,,16.0,≈ 4,≈ 0.034,18482600,−938.25,165.0,0.266,Norse group (Mundilfari),2023,2026,Ashton et al.
,♣S/2005 S 7,―,,16.4,≈ 3,≈ 0.014,18502500,+939.75,34.6,0.565,Gallic group,2005,2025,Sheppard et al.
,‡S/2007 S 6,—,,16.4,≈ 3,≈ 0.014,18545000,−942.98,166.5,0.168,Norse group (Mundilfari),2007,2023,Sheppard et al.
,‡S/2019 S 35,―,,16.7,≈ 3,≈ 0.014,18557800,−944.00,157.3,0.577,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2006 S 25,―,,16.4,≈ 3,≈ 0.014,18572400,−945.07,158.8,0.303,Norse group (Mundilfari),2006,2025,Sheppard et al.
,♦S/2023 S 22,―,,16.3,≈ 4,≈ 0.034,18577500,+945.37,47.5,0.182,Inuit group (Siarnaq),2023,2025,Ashton et al.
XXV,‡Mundilfari,/mʊndəlˈværi/,,14.5,≈ 7,≈ 0.27,18588200,−946.29,167.1,0.211,Norse group (Mundilfari),2000,2000,Gladman et al.
,‡S/2006 S 26,―,,16.5,≈ 3,≈ 0.014,18619300,−948.67,171.9,0.248,Norse group (Mundilfari),2006,2025,Sheppard et al.
,‡S/2019 S 33,―,,16.3,≈ 4,≈ 0.034,18696100,−954.53,170.4,0.289,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2006 S 1,—,,15.7,≈ 5,≈ 0.065,18746300,−958.32,156.1,0.105,Norse group (Kari),2006,2006,Sheppard et al.
,‡S/2023 S 23,―,,16.4,≈ 3,≈ 0.014,18783700,−961.22,164.8,0.350,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 21,―,,16.7,≈ 3,≈ 0.014,18862100,−967.26,169.9,0.307,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2020 S 46,―,,16.8,≈ 3,≈ 0.014,18892100,−969.60,167.3,0.207,Norse group (Mundilfari),2020,2026,Ashton et al.
,‡S/2004 S 43,—,,16.3,≈ 4,≈ 0.034,18935700,−972.85,171.1,0.432,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2006 S 10,—,,16.4,≈ 3,≈ 0.014,18979900,−976.34,161.6,0.151,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2019 S 5,—,,16.7,≈ 3,≈ 0.014,19090100,−984.87,158.8,0.216,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2023 S 25,―,,17.0,≈ 3,≈ 0.014,19136600,−988.53,166.4,0.281,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2004 S 59,―,,16.4,≈ 3,≈ 0.014,19170700,−991.18,167.3,0.262,Norse group (Mundilfari),2004,2025,Sheppard et al.
,‡S/2006 S 27,―,,16.3,≈ 4,≈ 0.034,19205700,−993.79,170.5,0.140,Norse group (Mundilfari),2006,2025,Sheppard et al.
LIV,‡Gridr,/ˈɡriːðər/,,15.8,≈ 4,≈ 0.065,19250600,−997.33,163.9,0.187,Norse group (Mundilfari),2004,2019,Sheppard et al.
XXXVIII,‡Bergelmir,/bɛərˈjɛlmɪər/,,15.2,≈ 5,≈ 0.11,19268100,−998.62,158.8,0.145,Norse group (Mundilfari),2004,2005,Sheppard et al.
L,‡Jarnsaxa,/jɑːrnˈsæksə/,,15.6,≈ 6,≈ 0.065,19273500,−999.13,163.0,0.218,Norse group (Mundilfari),2006,2006,Sheppard et al.
XXXI,‡Narvi,/ˈnɑːrvi/,,14.5,≈ 7,≈ 0.27,19285000,−999.94,142.2,0.441,Norse group (low-inclination),2003,2003,Sheppard et al.
,‡S/2023 S 44,―,,16.6,≈ 3,≈ 0.014,19292400,−1000.47,167.4,0.434,Norse group (Mundilfari),2023,2025,Ashton et al.
XXIII,‡Suttungr,/ˈsʊtʊŋɡər/,,14.5,≈ 7,≈ 0.27,19391900,−1008.25,175.7,0.116,Norse group (Phoebe),2000,2000,Gladman et al.
,‡S/2020 S 22,―,,16.6,≈ 3,≈ 0.014,19443000,−1012.24,161.3,0.059,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2004 S 44,—,,15.8,≈ 5,≈ 0.065,19515400,−1017.91,167.7,0.129,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2004 S 60,―,,16.5,≈ 3,≈ 0.014,19517000,−1018.13,173.8,0.280,Norse group (Phoebe),2004,2025,Sheppard et al.
,♣S/2006 S 12,—,,16.2,≈ 4,≈ 0.034,19570300,+1022.29,38.6,0.542,Gallic group,2006,2023,Sheppard et al.
,‡S/2007 S 3,—,,15.7,≈ 5,≈ 0.065,19614400,−1025.70,173.8,0.150,Norse group (Phoebe),2007,2007,Sheppard et al.
,‡S/2004 S 45,—,,16.0,≈ 4,≈ 0.034,19693700,−1031.86,154.0,0.551,Norse group (Kari),2004,2023,Sheppard et al.
XLIII,‡Hati,/ˈhɑːti/,,15.4,≈ 5,≈ 0.11,19695000,−1032.02,165.4,0.372,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2004 S 17,—,,16.0,≈ 4,≈ 0.034,19699000,−1032.37,167.9,0.162,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2006 S 11,—,,16.5,≈ 3,≈ 0.014,19711900,−1033.35,174.1,0.143,Norse group (Phoebe),2004,2023,Sheppard et al.
,‡S/2004 S 12,—,,15.9,≈ 4,≈ 0.034,19801000,−1040.39,164.7,0.337,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2020 S 23,―,,16.6,≈ 3,≈ 0.014,19801500,−1040.38,165.0,0.089,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2023 S 27,―,,16.5,≈ 3,≈ 0.014,19820100,−1041.85,151.1,0.652,Norse group (low-inclination),2023,2025,Ashton et al.
LIX,‡Eggther,/ˈɛɡθɛər/,,15.4,≈ 6,≈ 0.11,19844600,−1043.80,165.0,0.157,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2023 S 28,―,,16.9,≈ 3,≈ 0.014,19881000,−1046.56,168.7,0.575,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 37,―,,16.9,≈ 3,≈ 0.014,19889800,−1047.39,172.3,0.215,Norse group (Phoebe),2023,2025,Ashton et al.
,‡S/2023 S 26,―,,16.9,≈ 3,≈ 0.014,19894300,−1047.76,163.9,0.306,Norse group (Mundilfari),2023,2025,Ashton et al.
